Subgroup,Phase,Time Period,Time Period Start Date,Time Period End Date,Value,Low CI,High CI
Nevada,1,3,2020-05-14,2020-05-19,42.2,36.9,47.7
New Hampshire,1,3,2020-05-14,2020-05-19,46.7,40.8,52.8
New Jersey,1,3,2020-05-14,2020-05-19,51.0,45.6,56.5
New Mexico,1,3,2020-05-14,2020-05-19,48.8,43.2,54.5
New York,1,3,2020-05-14,2020-05-19,45.4,40.6,50.4
North Carolina,1,3,2020-05-14,2020-05-19,42.0,38.5,45.5
North Dakota,1,3,2020-05-14,2020-05-19,40.2,33.3,47.4
Ohio,1,3,2020-05-14,2020-05-19,47.5,41.5,53.5
Oklahoma,1,3,2020-05-14,2020-05-19,35.7,30.7,40.9
Oregon,1,3,2020-05-14,2020-05-19,51.7,46.9,56.4
Pennsylvania,1,3,2020-05-14,2020-05-19,43.1,38.3,48.0
Rhode Island,1,3,2020-05-14,2020-05-19,44.4,38.5,50.3
South Carolina,1,3,2020-05-14,2020-05-19,43.4,37.6,49.3
South Dakota,1,3,2020-05-14,2020-05-19,38.1,32.0,44.5
Tennessee,1,3,2020-05-14,2020-05-19,44.6,39.6,49.6
Texas,1,3,2020-05-14,2020-05-19,41.2,37.8,44.6
Utah,1,3,2020-05-14,2020-05-19,37.2,32.3,42.3
Vermont,1,3,2020-05-14,2020-05-19,52.5,47.0,57.9
Virginia,1,3,2020-05-14,2020-05-19,44.6,40.2,49.1
Washington,1,3,2020-05-14,2020-05-19,48.4,44.0,52.9
West Virginia,1,3,2020-05-14,2020-05-19,34.9,29.1,41.0
Wisconsin,1,3,2020-05-14,2020-05-19,42.9,38.0,47.9
Wyoming,1,3,2020-05-14,2020-05-19,48.9,42.3,55.5
United States,1,4,2020-05-21,2020-05-26,44.9,44.1,45.8
18 - 29 years,1,4,2020-05-21,2020-05-26,38.5,36.4,40.7
30 - 39 years,1,4,2020-05-21,2020-05-26,43.9,42.3,45.5
40 - 49 years,1,4,2020-05-21,2020-05-26,47.2,45.4,48.9
50 - 59 years,1,4,2020-05-21,2020-05-26,49.8,47.8,51.8
60 - 69 years,1,4,2020-05-21,2020-05-26,46.9,44.8,49.0
70 - 79 years,1,4,2020-05-21,2020-05-26,41.8,39.0,44.7
80 years and above,1,4,2020-05-21,2020-05-26,45.0,39.2,50.9
Male,1,4,2020-05-21,2020-05-26,41.3,40.0,42.6
Female,1,4,2020-05-21,2020-05-26,48.3,47.2,49.5
Hispanic or Latino,1,4,2020-05-21,2020-05-26,43.4,40.9,46.0
"Non-Hispanic White, single race",1,4,2020-05-21,2020-05-26,45.8,44.8,46.9
"Non-Hispanic Black, single race",1,4,2020-05-21,2020-05-26,42.7,40.1,45.3
"Non-Hispanic Asian, single race",1,4,2020-05-21,2020-05-26,38.4,35.1,41.7
"Non-Hispanic, other races and multiple races",1,4,2020-05-21,2020-05-26,52.0,48.6,55.4
Less than a high school diploma,1,4,2020-05-21,2020-05-26,45.9,41.6,50.2
High school diploma or GED,1,4,2020-05-21,2020-05-26,41.2,39.5,42.8
Some college/Associate's degree,1,4,2020-05-21,2020-05-26,45.7,44.3,47.1
Bachelor's degree or higher,1,4,2020-05-21,2020-05-26,47.5,46.5,48.6
Alabama,1,4,2020-05-21,2020-05-26,39.8,35.4,44.2
Alaska,1,4,2020-05-21,2020-05-26,51.3,45.4,57.2
Arizona,1,4,2020-05-21,2020-05-26,46.8,42.4,51.2
Arkansas,1,4,2020-05-21,2020-05-26,41.7,36.7,46.9
California,1,4,2020-05-21,2020-05-26,44.6,41.8,47.5
Colorado,1,4,2020-05-21,2020-05-26,46.2,41.5,51.1
Connecticut,1,4,2020-05-21,2020-05-26,47.6,43.1,52.2
Delaware,1,4,2020-05-21,2020-05-26,39.1,33.3,45.2
District of Columbia,1,4,2020-05-21,2020-05-26,44.1,36.4,52.0
Florida,1,4,2020-05-21,2020-05-26,45.4,42.4,48.3
Georgia,1,4,2020-05-21,2020-05-26,48.3,44.1,52.4
Hawaii,1,4,2020-05-21,2020-05-26,41.5,36.9,46.3
Idaho,1,4,2020-05-21,2020-05-26,38.3,33.7,43.2
Illinois,1,4,2020-05-21,2020-05-26,48.5,44.6,52.5
Indiana,1,4,2020-05-21,2020-05-26,46.0,41.1,51.0
Iowa,1,4,2020-05-21,2020-05-26,39.6,34.6,44.6
Kansas,1,4,2020-05-21,2020-05-26,38.0,34.0,42.1
Kentucky,1,4,2020-05-21,2020-05-26,44.9,40.5,49.4
Louisiana,1,4,2020-05-21,2020-05-26,50.4,44.4,56.3
Maine,1,4,2020-05-21,2020-05-26,54.8,49.3,60.2
Maryland,1,4,2020-05-21,2020-05-26,44.5,40.0,49.0
Massachusetts,1,4,2020-05-21,2020-05-26,46.5,42.1,50.9
Michigan,1,4,2020-05-21,2020-05-26,48.5,44.3,52.7
Minnesota,1,4,2020-05-21,2020-05-26,46.7,42.1,51.5
Mississippi,1,4,2020-05-21,2020-05-26,48.8,43.1,54.5
Missouri,1,4,2020-05-21,2020-05-26,40.1,35.4,45.1
Montana,1,4,2020-05-21,2020-05-26,40.0,35.1,45.0
Nebraska,1,4,2020-05-21,2020-05-26,41.0,36.9,45.1
Nevada,1,4,2020-05-21,2020-05-26,45.0,41.3,48.8
New Hampshire,1,4,2020-05-21,2020-05-26,48.7,44.5,52.9
New Jersey,1,4,2020-05-21,2020-05-26,47.2,42.0,52.4
New Mexico,1,4,2020-05-21,2020-05-26,46.0,40.8,51.3
New York,1,4,2020-05-21,2020-05-26,45.2,40.9,49.5
North Carolina,1,4,2020-05-21,2020-05-26,45.6,41.1,50.2
North Dakota,1,4,2020-05-21,2020-05-26,36.0,30.8,41.5
Ohio,1,4,2020-05-21,2020-05-26,41.6,36.5,46.9
Oklahoma,1,4,2020-05-21,2020-05-26,44.6,39.5,49.8
Oregon,1,4,2020-05-21,2020-05-26,46.9,42.7,51.1
Pennsylvania,1,4,2020-05-21,2020-05-26,46.5,41.3,51.8
Rhode Island,1,4,2020-05-21,2020-05-26,41.7,35.5,48.1
South Carolina,1,4,2020-05-21,2020-05-26,40.4,35.7,45.2
South Dakota,1,4,2020-05-21,2020-05-26,39.3,33.5,45.3
Tennessee,1,4,2020-05-21,2020-05-26,42.8,38.6,47.0
Texas,1,4,2020-05-21,2020-05-26,43.7,39.9,47.6
Utah,1,4,2020-05-21,2020-05-26,41.1,37.3,45.0
Vermont,1,4,2020-05-21,2020-05-26,45.2,39.0,51.4
Virginia,1,4,2020-05-21,2020-05-26,44.6,40.8,48.5
Washington,1,4,2020-05-21,2020-05-26,43.5,39.9,47.2
West Virginia,1,4,2020-05-21,2020-05-26,43.0,36.0,50.2
Wisconsin,1,4,2020-05-21,2020-05-26,45.9,41.1,50.8
Wyoming,1,4,2020-05-21,2020-05-26,46.1,40.7,51.5
United States,1,5,2020-05-28,2020-06-02,45.5,44.9,46.1
18 - 29 years,1,5,2020-05-28,2020-06-02,39.6,37.2,42.1
30 - 39 years,1,5,2020-05-28,2020-06-02,45.9,44.6,47.2
40 - 49 years,1,5,2020-05-28,2020-06-02,47.4,45.8,49.0
50 - 59 years,1,5,2020-05-28,2020-06-02,49.9,48.5,51.3
60 - 69 years,1,5,2020-05-28,2020-06-02,46.9,45.2,48.6
70 - 79 years,1,5,2020-05-28,2020-06-02,42.3,40.1,44.5
80 years and above,1,5,2020-05-28,2020-06-02,40.3,34.8,46.1
Male,1,5,2020-05-28,2020-06-02,41.2,40.0,42.3
Female,1,5,2020-05-28,2020-06-02,49.6,48.8,50.4
Hispanic or Latino,1,5,2020-05-28,2020-06-02,42.8,40.2,45.4
"Non-Hispanic White, single race",1,5,2020-05-28,2020-06-02,46.4,45.5,47.3
"Non-Hispanic Black, single race",1,5,2020-05-28,2020-06-02,43.3,41.0,45.6
"Non-Hispanic Asian, single race",1,5,2020-05-28,2020-06-02,41.1,38.1,44.2
"Non-Hispanic, other races and multiple races",1,5,2020-05-28,2020-06-02,54.3,50.2,58.3
Less than a high school diploma,1,5,2020-05-28,2020-06-02,42.1,38.2,46.0
High school diploma or GED,1,5,2020-05-28,2020-06-02,40.9,39.5,42.5
